Monster ID,Name-English,Main,Sub,"Lifespan
",Nature,Life Type (0-3),Life Type,Lif,Pow,Int,Ski,Spd,Def,Lif gain,Pow gain,Int gain,Ski gain,Spd gain,Def gain,Arena speed,Guts Rate,Battle Specials,Extra techs,Training bonus,No Offset
474,Gold Dust,Ape,??? (Gold Dust),380,25,0,1,179,154,73,128,163,127,4,4,1,3,4,3,D,17,"Power, Anger",Boomerang,Parepare,1
475,Gold Dust,Ape,??? (Gold Dust),420,-45,2,3,194,163,39,130,103,146,4,4,1,3,3,4,E,18,"Power, Anger",Bomb,Parepare,1
944,Gold Dust,Ape,??? (Gold Dust),380,25,0,1,179,154,73,128,163,127,4,4,1,3,4,3,D,17,"Power, Anger, Grit",Boomerang,Parepare,1
1044,Gold Dust,Ape,??? (Gold Dust),430,5,0,1,194,208,84,164,148,119,4,4,1,3,4,3,D,17,"Power, Anger",Bomb,Parepare,1
985,King Ape,Ape,??? (King Ape),360,-95,2,3,313,289,88,169,186,269,5,4,2,3,2,5,D,13,"Power, Anger, Fury, Real",Big Bomb,"Study, Parepare",1
1213,King Ape,Ape,??? (King Ape),370,-95,2,3,306,230,191,181,179,227,4,4,4,3,2,4,D,13,"Power, Anger, Fury, Real",Boomerang,"Study, Parepare",1
309,Ape,Ape,Ape,400,-45,2,3,150,160,20,120,100,140,4,4,1,3,3,4,E,18,"Power, Anger",,Parepare,0
573,Ape,Ape,Ape,420,-45,2,3,163,167,37,134,116,157,4,4,1,3,3,4,E,18,"Power, Anger",,Parepare,1
943,Ape,Ape,Ape,400,-45,2,3,150,160,20,120,100,140,4,4,1,3,3,4,E,18,"Power, Anger, Ease",,Parepare,0
1167,Ape,Ape,Ape,480,48,1,2,48,48,48,48,48,48,4,4,1,3,3,4,C,19,"Power, Anger, Fury",,Parepare,1
307,Bossy,Ape,Gali,340,70,0,1,120,140,110,100,90,130,3,4,3,3,3,4,D,18,"Power, Anger",,Parepare,0
941,Bossy,Ape,Gali,340,70,0,1,120,140,110,100,90,130,3,4,3,3,3,4,D,18,"Power, Anger, Fury",,Parepare,0
305,Rock Ape,Ape,Golem,380,15,2,3,150,160,70,100,90,140,4,4,2,2,2,4,E,18,"Power, Anger",,Parepare,0
571,Rock Ape,Ape,Golem,100,15,2,3,155,182,75,112,109,160,4,4,2,2,2,4,E,18,"Power, Anger",Big Banana,Parepare,1
939,Rock Ape,Ape,Golem,380,15,2,3,150,160,70,100,90,140,4,4,2,2,2,4,E,18,"Power, Anger, Guard",,Parepare,0
306,Gibberer,Ape,Hare,360,25,0,1,160,140,60,110,150,120,4,4,1,3,4,3,D,17,"Power, Anger",,Parepare,0
940,Gibberer,Ape,Hare,360,25,0,1,160,140,60,110,150,120,4,4,1,3,4,3,D,17,"Power, Anger, Grit",,Parepare,0
308,Tropical Ape,Ape,Plant,420,40,1,2,140,120,90,110,100,130,4,3,2,3,3,3,E,14,"Power, Anger",,Parepare,0
572,Tropical Ape,Ape,Plant,440,40,1,2,153,164,102,122,102,136,4,3,2,3,3,3,E,14,"Power, Anger","Sneeze, Blast",Parepare,1
942,Tropical Ape,Ape,Plant,420,40,1,2,140,120,90,110,100,130,4,3,2,3,3,3,E,14,"Power, Anger, Will",,Parepare,0
976,Silver Face,Arrow Head,??? (Silver Face),370,-45,2,3,209,238,131,215,109,345,3,4,3,3,2,5,C,14,"Power, Anger, Guard, Hurry","Sting Slash, Death Scythe, Cyclone, Fist Missile","Study, Torble sea",1
1204,Silver Face,Arrow Head,??? (Silver Face),360,-45,2,3,200,171,227,204,141,304,3,3,4,3,3,4,C,14,"Power, Anger, Guard, Hurry",Energy Shots,"Study, Torble sea",1
377,Sumopion,Arrow Head,??? (Sumopion),400,-50,1,2,102,129,192,111,75,146,3,3,3,3,2,4,D,15,"Power, Anger, Guard",Jumping Claw,Pull,1
378,Sumopion,Arrow Head,??? (Sumopion),360,-65,3,4,113,113,127,187,79,158,3,3,3,4,2,4,D,15,"Power, Anger, Guard, Real",Bloodsuction,,1
379,Sumopion,Arrow Head,??? (Sumopion),440,-15,1,2,101,116,135,105,105,160,2,3,3,3,2,4,D,15,"Power, Anger, Real",Fist Missile,,1
380,Sumopion,Arrow Head,??? (Sumopion),400,-50,1,2,106,131,132,119,72,193,3,3,3,3,2,4,D,15,"Power, Anger, Guard",Fist Missile,,1
732,Sumopion,Arrow Head,??? (Sumopion),400,-50,1,2,102,129,192,111,75,146,3,3,3,3,2,4,D,15,"Power, Anger, Guard, Hurry",Jumping Claw,Pull,1
1006,Sumopion,Arrow Head,??? (Sumopion),450,-35,1,2,120,139,186,157,112,170,3,3,3,3,2,4,D,15,"Power, Anger, Guard",Jumping Claw,Pull,1
133,Arrow Head,Arrow Head,Arrow Head,400,-10,0,1,120,80,70,30,40,170,3,3,2,3,2,5,D,17,"Power, Anger, Guard",,,0
511,Arrow Head,Arrow Head,Arrow Head,200,-10,0,1,128,98,78,48,45,193,3,3,2,3,2,5,D,17,"Power, Anger, Guard",Death Scythe,,1
512,Arrow Head,Arrow Head,Arrow Head,420,-10,0,1,137,94,72,45,55,189,3,3,2,3,2,5,D,17,"Power, Anger, Guard",,,1
728,Arrow Head,Arrow Head,Arrow Head,400,-10,0,1,110,150,90,140,100,190,3,3,2,3,2,5,D,17,"Power, Anger, Fight, Guard",,,0
