Monster ID,Name-English,Main,Sub,"Lifespan
",Nature,Life Type (0-3),Life Type,Lif,Pow,Int,Ski,Spd,Def,Lif gain,Pow gain,Int gain,Ski gain,Spd gain,Def gain,Arena speed,Guts Rate,Battle Specials,Extra techs,Training bonus,No Offset
235,Skull Capped,Jill,Joker,310,-85,3,4,110,160,150,130,100,120,3,4,4,3,2,3,D,15,"Power, Anger, Vigor, Real",,Papas,0
850,Skull Capped,Jill,Joker,310,-85,3,4,110,160,150,130,100,120,3,4,4,3,2,3,D,15,"Power, Anger, Will, Vigor, Real",,Papas,0
232,Bengal,Jill,Kato,390,-50,2,3,110,130,150,90,100,120,3,3,4,2,3,3,D,16,"Power, Anger, Vigor",,"Meditate, Papas",0
541,Bengal,Jill,Kato,410,-50,2,3,148,138,159,101,107,128,3,3,4,2,3,3,D,16,"Power, Anger, Vigor",,"Meditate, Papas",1
847,Bengal,Jill,Kato,390,-50,2,3,110,130,150,90,100,120,3,3,4,2,3,3,D,16,"Power, Anger, Will, Vigor",,"Meditate, Papas",0
229,Pong Pong,Jill,Pixie,330,-40,1,2,90,130,150,120,110,100,2,3,4,3,3,2,C,12,"Power, Anger, Vigor",,Papas,0
844,Pong Pong,Jill,Pixie,330,-40,1,2,90,130,150,120,110,100,2,3,4,3,3,2,C,12,"Power, Anger, Ease, Vigor",,Papas,0
233,Zorjil,Jill,Suezo,350,-60,1,2,130,150,140,110,80,100,3,4,4,3,2,3,D,14,"Power, Anger, Vigor",,Papas,0
848,Zorjil,Jill,Suezo,350,-60,1,2,130,150,140,110,80,100,3,4,4,3,2,3,D,14,"Power, Anger, Ease, Vigor",,Papas,0
230,Pierry,Jill,Tiger,330,55,1,2,120,130,150,110,100,90,3,3,4,3,3,2,C,13,"Power, Anger, Vigor",,Papas,0
845,Pierry,Jill,Tiger,330,55,1,2,120,130,150,110,100,90,3,3,4,3,3,2,C,13,"Power, Anger, Hurry, Vigor",,Papas,0
432,Bloodshed,Joker,??? (Bloodshed),310,-40,0,1,116,121,168,220,92,144,3,3,4,5,2,2,C,13,"Power, Anger, Real",Death Cutter,,1
433,Bloodshed,Joker,??? (Bloodshed),310,-10,2,3,180,143,159,137,105,93,3,4,4,3,2,3,D,15,"Power, Anger, Real",,,1
434,Bloodshed,Joker,??? (Bloodshed),290,-60,1,2,109,152,191,205,126,92,2,3,5,5,3,2,B,11,"Power, Anger, Real",,,1
869,Bloodshed,Joker,??? (Bloodshed),310,-40,0,1,116,121,168,220,92,144,3,3,4,5,2,2,C,13,"Power, Anger, Fury, Real",Death Cutter,,1
1029,Bloodshed,Joker,??? (Bloodshed),410,-20,0,1,154,186,149,213,140,127,3,3,4,4,3,2,C,13,"Power, Anger, Real",Death Cutter,,1
248,Odium,Joker,Bajarl,290,-40,0,1,110,120,160,200,90,100,3,3,4,5,2,2,C,13,"Power, Anger, Real",,,0
547,Odium,Joker,Bajarl,310,-40,0,1,139,134,161,208,103,119,3,3,4,5,2,2,C,13,"Power, Anger, Real",,,1
867,Odium,Joker,Bajarl,290,-40,0,1,110,120,160,200,90,100,3,3,4,5,2,2,C,13,"Power, Anger, Vigor, Real",,,0
245,Flare Death,Joker,Dragon,250,-80,1,2,120,140,190,160,100,90,3,4,5,4,2,2,C,15,"Power, Anger, Real",,,0
864,Flare Death,Joker,Dragon,250,-80,1,2,120,140,190,160,100,90,3,4,5,4,2,2,C,15,"Power, Anger, Fury, Real",,,0
1156,Flare Death,Joker,Dragon,400,-90,2,3,112,181,206,200,103,82,3,4,5,4,2,2,C,15,"Power, Anger, Will, Real",Death Energy,,1
246,Tombstone,Joker,Golem,290,-10,2,3,120,140,150,130,100,90,3,4,4,3,2,3,D,15,"Power, Anger, Real",,,0
865,Tombstone,Joker,Golem,290,-10,2,3,120,140,150,130,100,90,3,4,4,3,2,3,D,15,"Power, Anger, Guard, Real",,,0
249,Joker,Joker,Joker,250,-90,3,4,120,110,200,190,100,90,3,3,5,5,2,2,C,13,"Power, Anger, Real",,,0
548,Joker,Joker,Joker,270,-90,3,4,140,124,208,217,103,98,3,3,5,5,2,2,C,13,"Power, Anger, Real",,,1
549,Joker,Joker,Joker,270,-90,3,4,127,134,210,201,115,109,3,3,5,5,2,2,C,13,"Power, Anger, Real",,,1
550,Joker,Joker,Joker,270,-90,3,4,134,118,203,216,120,107,3,3,5,5,2,2,C,13,"Power, Anger, Real",,,1
868,Joker,Joker,Joker,250,-90,3,4,120,110,200,190,100,90,3,3,5,5,2,2,C,13,"Power, Anger, Will, Real",,,0
1157,Joker,Joker,Joker,400,-90,3,4,127,108,182,178,101,68,3,3,5,5,2,2,C,13,"Power, Anger, Real",Death Slash,,1
244,Hell Heart,Joker,Pixie,270,-60,1,2,100,110,190,200,120,90,2,3,5,5,3,2,B,11,"Power, Anger, Real",,,0
863,Hell Heart,Joker,Pixie,270,-60,1,2,100,110,190,200,120,90,2,3,5,5,3,2,B,11,"Power, Anger, Ease, Real",,,0
247,Blue Terror,Joker,Tiger,270,30,1,2,110,100,190,190,110,90,3,3,5,5,3,2,C,11,"Power, Anger, Real",,,0
546,Blue Terror,Joker,Tiger,290,30,1,2,153,112,192,194,121,102,3,3,5,5,3,2,C,11,"Power, Anger, Real",,,1
